Designator,Mid X,Mid Y,Rotation,Layer
SW65,49.93125,-136.725,0.0,top
SW66,80.8875,-136.725,0.0,top
SW67,99.9375,-136.725,0.0,top
SW68,118.9875,-136.725,0.0,top
SW69,138.0375,-136.725,0.0,top
SW7,152.325,-60.525,0.0,top
SW70,157.0875,-136.725,0.0,top
SW71,176.1375,-136.725,0.0,top
SW72,195.1875,-136.725,0.0,top
SW73,214.2375,-136.725,0.0,top
SW74,233.2875,-136.725,0.0,top
SW75,252.3375,-136.725,0.0,top
SW76,278.53125,-136.725,0.0,top
SW77,304.725,-136.725,0.0,top
SW78,323.775,-136.725,0.0,top
SW79,342.825,-136.725,0.0,top
SW8,171.375,-60.525,0.0,top
SW80,40.40625,-155.775,0.0,top
SW81,64.21875,-155.775,0.0,top
SW82,88.03125,-155.775,0.0,top
SW83,159.46875,-155.775,0.0,top
SW84,228.525,-155.775,0.0,top
SW85,247.575,-155.775,0.0,top
SW86,266.625,-155.775,0.0,top
SW87,285.675,-155.775,0.0,top
SW88,304.725,-155.775,0.0,top
SW89,323.775,-155.775,0.0,top
SW9,190.425,-60.525,0.0,top
SW90,342.825,-155.775,0.0,top
U1,53.785,-36.0,90.0,top
